asset_id,decision_at,momentum,quality,dollar_volume,close,industry,eligible,exclusion_reason,execution_session
TEST01,2020-01-02 14:00:00+00:00,0.0920963448094354,0.0799469168404991,69947561.26718947,48.431569289068534,Test industry 1,True,,2020-01-02
TEST02,2020-01-02 14:00:00+00:00,0.24273924400161895,0.04052366482565431,78264497.388787,52.59573929025815,Test industry 2,True,,2020-01-02
TEST03,2020-01-02 14:00:00+00:00,0.26929465904254735,0.029461345901312698,95467144.17376679,62.40648386973376,Test industry 3,True,,2020-01-02
TEST04,2020-01-02 14:00:00+00:00,-0.13957082297073364,0.17074760530606045,60421335.91956935,44.78225482523959,Test industry 4,True,,2020-01-02
TEST05,2020-01-02 14:00:00+00:00,0.12705951204485721,0.08169966140424756,70059942.19176953,49.1151236614488,Test industry 1,True,,2020-01-02
TEST06,2020-01-02 14:00:00+00:00,0.06916764256030561,0.1632482106463941,96500580.58253622,70.41270893466425,Test industry 2,True,,2020-01-02
TEST07,2020-01-02 14:00:00+00:00,0.10863153831466943,0.026412881719741665,109159701.26119916,80.18793840202176,Test industry 3,True,,2020-01-02
TEST08,2020-01-02 14:00:00+00:00,0.2708722954843663,0.005918274397689774,135982454.829856,101.32620988016377,Test industry 4,True,,2020-01-02
TEST09,2020-01-02 14:00:00+00:00,0.19938195209200726,0.12296828744590668,120757242.93412094,87.0786497348261,Test industry 1,True,,2020-01-02
TEST10,2020-01-02 14:00:00+00:00,0.1870890949367623,0.06352126151519388,112743748.16250953,83.54685078926445,Test industry 2,True,,2020-01-02
TEST11,2020-01-02 14:00:00+00:00,0.03029345115546267,0.10175501488281813,110298028.15313974,75.05824551579661,Test industry 3,True,,2020-01-02
TEST12,2020-01-02 14:00:00+00:00,0.11551828528550878,-0.0026449634911041766,102174808.72227597,72.58210313874191,Test industry 4,True,,2020-01-02
TEST13,2020-01-02 14:00:00+00:00,0.06470603202843961,0.12681848154159023,105055792.16888025,79.02330849940408,Test industry 1,True,,2020-01-02
TEST14,2020-01-02 14:00:00+00:00,0.012988903243163374,-0.026339954185517794,120717304.44197813,76.54631459516348,Test industry 2,True,,2020-01-02
TEST15,2020-01-02 14:00:00+00:00,0.26613293259067894,0.053231534450258335,141651112.27184117,108.06356023216051,Test industry 3,True,,2020-01-02
TEST16,2020-01-02 14:00:00+00:00,-0.14852453152530476,-0.00732270812936593,123347434.04042268,83.40994232771084,Test industry 4,True,,2020-01-02
TEST17,2020-01-02 14:00:00+00:00,0.23956828071577974,-0.03045701802406509,135044510.13447386,99.5647945170253,Test industry 1,True,,2020-01-02
TEST18,2020-01-02 14:00:00+00:00,-0.18398613483127468,0.09323429503427809,113857256.2394804,84.45302822048941,Test industry 2,True,,2020-01-02
TEST19,2020-01-02 14:00:00+00:00,-0.019779802215794562,0.030765229656322595,109052590.59935498,72.75841346400178,Test industry 3,True,,2020-01-02
TEST20,2020-01-02 14:00:00+00:00,0.2224265924646871,0.09904551036829337,169257539.7782464,128.9265017426551,Test industry 4,True,,2020-01-02
TEST01,2020-02-03 14:00:00+00:00,0.17034492362357567,0.0799469168404991,67780546.34898838,49.52524963498617,Test industry 1,True,,2020-02-03
TEST02,2020-02-03 14:00:00+00:00,0.1874181987692043,0.04052366482565431,79489436.07343727,52.37093665535515,Test industry 2,True,,2020-02-03
TEST03,2020-02-03 14:00:00+00:00,0.12492935636247937,0.029461345901312698,91248148.48797017,65.76166190908518,Test industry 3,True,,2020-02-03
TEST04,2020-02-03 14:00:00+00:00,-0.14717943312080028,0.17074760530606045,65913998.382237926,46.84218189251633,Test industry 4,True,,2020-02-03
TEST05,2020-02-03 14:00:00+00:00,0.0857235406163448,0.08169966140424756,70805565.40466492,50.569702986859525,Test industry 1,True,,2020-02-03
TEST06,2020-02-03 14:00:00+00:00,0.05614567491101874,0.1632482106463941,99559284.68594775,70.98851375013065,Test industry 2,True,,2020-02-03
TEST07,2020-02-03 14:00:00+00:00,0.07845170131499701,0.026412881719741665,109739984.03267416,74.99683230657982,Test industry 3,True,,2020-02-03
TEST08,2020-02-03 14:00:00+00:00,0.25798201775313,0.005918274397689774,139629356.94190553,95.57682340720152,Test industry 4,True,,2020-02-03
