session,nav,return,gross_return,cost_usd,terminal_settlement_usd,cost_return,traded_notional_usd,turnover,half_turnover,gross_exposure,net_exposure,cash_weight,rebalance
2020-01-02,99976.00575861793,-0.0002399424138206374,0.0,23.994241382068306,0.0,-0.00023994241382068306,39990.40230344718,0.3999040230344718,0.1999520115172359,0.4000000000000001,0.4000000000000001,0.5999999999999999,True
2020-01-03,99514.08794343623,-0.004620286754573488,-0.004620286754573412,0.0,0.0,-0.0,0.0,0.0,0.0,0.39721496026505776,0.39721496026505776,0.6027850397349422,False
2020-01-06,99133.51227764628,-0.0038243395850270367,-0.003824339585027003,0.0,0.0,-0.0,0.0,0.0,0.0,0.3949008556544712,0.3949008556544712,0.6050991443455289,False
2020-01-07,99683.04915337992,0.005543401652052138,0.005543401652051994,0.0,0.0,-0.0,0.0,0.0,0.0,0.3982366714839115,0.3982366714839115,0.6017633285160884,False
2020-01-08,100194.36923296095,0.005129458658455155,0.005129458658455277,0.0,0.0,-0.0,0.0,0.0,0.0,0.4013076391977795,0.4013076391977795,0.5986923608022204,False
2020-01-09,100251.05664613866,0.000565774440337119,0.000565774440337195,0.0,0.0,-0.0,0.0,0.0,0.0,0.40164617249965706,0.40164617249965706,0.5983538275003428,False
2020-01-10,100333.50591091535,0.0008224278878945501,0.0008224278878947456,0.0,0.0,-0.0,0.0,0.0,0.0,0.402137870987673,0.402137870987673,0.597862129012327,False
2020-01-13,100131.17254950388,-0.002016608106878204,-0.0020166081068784102,0.0,0.0,-0.0,0.0,0.0,0.0,0.40092978112770566,0.40092978112770566,0.5990702188722942,False
2020-01-14,99933.25575401963,-0.0019765752307195905,-0.0019765752307193477,0.0,0.0,-0.0,0.0,0.0,0.0,0.3997433286590592,0.3997433286590592,0.6002566713409409,False
2020-01-15,99884.50336468747,-0.00048784950479507927,-0.0004878495047952808,0.0,0.0,-0.0,0.0,0.0,0.0,0.39945035081009683,0.39945035081009683,0.6005496491899031,False
2020-01-16,99720.5371779089,-0.0016415578118249563,-0.0016415578118248717,0.0,0.0,-0.0,0.0,0.0,0.0,0.3984628928727897,0.3984628928727897,0.6015371071272103,False
2020-01-17,99865.85146764728,0.0014572152723077991,0.0014572152723077156,0.0,0.0,-0.0,0.0,0.0,0.0,0.39933818644099994,0.39933818644099994,0.6006618135590001,False
2020-01-21,99879.19851764335,0.00013364978919128134,0.00013364978919143392,0.0,0.0,-0.0,0.0,0.0,0.0,0.39941845403801,0.39941845403801,0.6005815459619901,False
2020-01-22,100159.52510665468,0.002806656372616123,0.0028066563726159986,0.0,0.0,-0.0,0.0,0.0,0.0,0.40109936232929233,0.40109936232929233,0.5989006376707078,False
2020-01-23,99879.73661274705,-0.0027934287189330664,-0.0027934287189331315,0.0,0.0,-0.0,0.0,0.0,0.0,0.39942168962913394,0.39942168962913394,0.6005783103708661,False
2020-01-24,100125.45028820413,0.0024600953485667265,0.0024600953485666684,0.0,0.0,-0.0,0.0,0.0,0.0,0.40089554371534547,0.40089554371534547,0.5991044562846546,False
2020-01-27,100582.5882103784,0.004565651598653853,0.004565651598653657,0.0,0.0,-0.0,0.0,0.0,0.0,0.40361841425570644,0.40361841425570644,0.5963815857442936,False
2020-01-28,100284.1485079019,-0.0029671109859717992,-0.002967110985971752,0.0,0.0,-0.0,0.0,0.0,0.0,0.40184361788299794,0.40184361788299794,0.5981563821170021,False
2020-01-29,100264.65886484052,-0.00019434420445674228,-0.00019434420445673187,0.0,0.0,-0.0,0.0,0.0,0.0,0.4017273470602142,0.4017273470602142,0.5982726529397858,False
2020-01-30,100618.41811739076,0.0035282546866999276,0.003528254686699883,0.0,0.0,-0.0,0.0,0.0,0.0,0.40383078389101684,0.40383078389101684,0.5961692161089831,False
2020-01-31,100757.95852951918,0.0013868277273612062,0.0013868277273613092,0.0,0.0,-0.0,0.0,0.0,0.0,0.4046564228710858,0.4046564228710858,0.5953435771289143,False
