session,TEST01,TEST02,TEST03,TEST04,TEST05,TEST06,TEST07,TEST08,TEST09,TEST10,TEST11,TEST12,TEST13,TEST14,TEST15,TEST16,TEST17,TEST18,TEST19,TEST20,TEST_BENCHMARK
2020-01-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2020-01-03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0019171612506604936,-0.0,-0.0,-0.0005670483973342801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0009911504425849762,-0.0,-0.0,-0.0,-0.0,-0.001144926663993662,-0.0
2020-01-06,-0.0,-0.0,-0.0,0.0,-0.0,-0.0010203178739341752,0.0,-0.0,-0.00023176228419933997,-0.0,0.0,-0.0,-0.0,-0.0,-0.0011595833219107826,-0.0,-0.0,-0.0,-0.0,-0.0014126761049827051,-0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0015781288423498657,0.0,-0.0,0.002053352391966613,0.0,0.0,0.0,0.0,0.0,0.0013869233001409876,0.0,0.0,0.0,0.0,0.000524997117594527,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0014672963866788024,-0.0,0.0,0.0002202299572330748,0.0,0.0,0.0,0.0,-0.0,0.0018099595651619481,0.0,0.0,0.0,-0.0,0.0016319727493814523,0.0
2020-01-09,-0.0,0.0,-0.0,0.0,-0.0,-0.0002539747454526229,0.0,0.0,0.0004886501404929923,0.0,0.0,0.0,-0.0,-0.0,0.0008628283635929329,0.0,0.0,0.0,0.0,-0.0005317293182961076,-0.0
2020-01-10,0.0,-0.0,0.0,0.0,-0.0,0.0005850064694760491,-0.0,-0.0,-1.6756535386610506e-05,0.0,0.0,-0.0,0.0,0.0,0.00019964520307892158,-0.0,-0.0,0.0,-0.0,5.4532750726385454e-05,0.0
2020-01-13,0.0,-0.0,0.0,-0.0,-0.0,-0.0010287957005699327,-0.0,-0.0,0.0002495073647789901,0.0,-0.0,-0.0,-0.0,-0.0,-0.0003601819710383601,-0.0,-0.0,0.0,-0.0,-0.0008771378000491074,-0.0
2020-01-14,-0.0,0.0,-0.0,-0.0,0.0,-0.0005045694537006894,-0.0,-0.0,-0.000488293368105552,-0.0,0.0,0.0,-0.0,-0.0,-0.000390705290296904,-0.0,0.0,-0.0,-0.0,-0.0005930071186162023,-0.0
2020-01-15,-0.0,-0.0,0.0,0.0,-0.0,0.0005213701980402768,0.0,-0.0,-0.00017996656416457797,0.0,0.0,0.0,-0.0,0.0,0.00031813383094361704,0.0,0.0,-0.0,0.0,-0.0011473869696145968,0.0
